Rk,Player,Tm,Salary,,,,,,,-9999
319,Dewayne Dedmon,DET,$2748674,,,,,,,dedmode01
320,Olivier-Maxence Prosper,DAL,$2733720,,,,,,,prospol01
321,David Roddy,PHO,$2718240,,,,,,,roddyda01
322,Christian Wood,LAL,$2709849,,,,,,,woodch01
323,Isaiah Jackson,IND,$2696280,,,,,,,jacksis01
324,Marcus Sasser,DET,$2624040,,,,,,,sassema01
325,MarJon Beauchamp,MIL,$2609400,,,,,,,beaucma01
326,Charles Bassey,SAS,$2600000,,,,,,,bassech01
327,Usman Garuba,OKC,$2588400,,,,,,,garubus01
328,Damian Jones,CLE,$2586665,,,,,,,jonesda03
329,Kris Dunn,UTA,$2586665,,,,,,,dunnkr01
330,Bruno Fernando,ATL,$2581522,,,,,,,fernabr01
331,Ben Sheppard,IND,$2537160,,,,,,,sheppbe01
332,Thomas Bryant,MIA,$2528233,,,,,,,bryanth01
333,Torrey Craig,CHI,$2528233,,,,,,,craigto01
334,Damion Lee,PHO,$2528233,,,,,,,leeda03
335,Blake Wesley,SAS,$2504640,,,,,,,weslebl01
336,Josh Christopher,MEM,$2485200,,,,,,,chrisjo01
337,Nick Smith Jr.,CHO,$2463960,,,,,,,smithni01
338,Brice Sensabaugh,UTA,$2448600,,,,,,,sensabr01
339,Ty Jerome,CLE,$2439025,,,,,,,jeromty01
340,Julian Strawther,DEN,$2431080,,,,,,,strawju01
341,Wendell Moore Jr.,MIN,$2421720,,,,,,,moorewe01
342,Kobe Brown,LAC,$2413320,,,,,,,brownko01
343,Luke Kornet,BOS,$2413304,,,,,,,kornelu01
344,John Konchar,MEM,$2400000,,,,,,,konchjo01
345,Quentin Grimes,DET,$2385720,,,,,,,grimequ01
346,Nikola Jović,MIA,$2352000,,,,,,,jovicni01
347,JaVale McGee,DAL,$4368030,,,,,,,mcgeeja01
348,Drew Eubanks,PHO,$2346614,,,,,,,eubandr01
349,Keita Bates-Diop,BRK,$2346614,,,,,,,bateske01
350,Yuta Watanabe,MEM,$2346614,,,,,,,watanyu01
351,Patrick Baldwin Jr.,WAS,$2337720,,,,,,,baldwpa01
352,TyTy Washington Jr.,OKC,$2320440,,,,,,,washity02
353,Jordan McLaughlin,MIN,$2320000,,,,,,,mclaujo01
354,Bones Hyland,LAC,$2306400,,,,,,,hylanbo01
355,Peyton Watson,DEN,$2303520,,,,,,,watsope01
356,James Johnson,IND,$777703,,,,,,,johnsja01
357,Cam Thomas,BRK,$2240160,,,,,,,thomaca02
358,Vlatko Čančar,DEN,$2234359,,,,,,,cancavl01
359,Vince Williams Jr.,MEM,$2232308,,,,,,,willivi01
360,Jaden Springer,BOS,$2226240,,,,,,,sprinja01
361,Day'Ron Sharpe,BRK,$2210040,,,,,,,sharpda01
362,Santi Aldama,MEM,$2194200,,,,,,,aldamsa01
363,Jaxson Hayes,LAL,$2165000,,,,,,,hayesja02
364,Cam Reddish,LAL,$2165000,,,,,,,reddica01
365,Oshae Brissett,BOS,$2165000,,,,,,,brissos01
366,Andrew Nembhard,IND,$2131905,,,,,,,nembhan01
367,Goga Bitadze,ORL,$2066585,,,,,,,bitadgo01
368,Luka Šamanić,UTA,$2066585,,,,,,,samanlu01
369,Colby Jones,SAC,$2019706,,,,,,,jonesco02
370,Taj Gibson,WAS,$2497336,,,,,,,gibsota01
371,Garrett Temple,TOR,$2019706,,,,,,,templga01
372,Sandro Mamukelashvili,SAS,$2019706,,,,,,,mamuksa01
373,Robin Lopez,SAC,$2019706,,,,,,,lopezro01
374,JaVale McGee,SAC,$4368030,,,,,,,mcgeeja01
375,Alex Len,SAC,$2019706,,,,,,,lenal01
376,Dalano Banton,POR,$2019706,,,,,,,bantoda01
377,Bol Bol,PHO,$2019706,,,,,,,bolbo01
378,Montrezl Harrell,PHI,$2019706,,,,,,,harremo01
379,Cameron Payne,PHI,$8519706,,,,,,,payneca01
380,Kelly Oubre Jr.,PHI,$2019706,,,,,,,oubreke01
381,Mo Bamba,PHI,$2019706,,,,,,,bambamo01
382,Dylan Windler,NYK,$2019706,,,,,,,windldy01
383,Cody Zeller,NOP,$2019706,,,,,,,zelleco01
384,Thanasis Antetokounmpo,MIL,$2019706,,,,,,,antetth01
385,Patrick Beverley,MIL,$2019706,,,,,,,beverpa01
386,Jae Crowder,MIL,$2019706,,,,,,,crowdja01
387,Malik Beasley,MIL,$2019706,,,,,,,beaslma01
388,Chimezie Metu,MEM,$2019706,,,,,,,metuch01
389,Lamar Stevens,MEM,$2419706,,,,,,,stevela01
390,Cory Joseph,IND,$2019706,,,,,,,josepco01
391,Reggie Bullock,HOU,$13033786,,,,,,,bullore01
392,Dario Šarić,GSW,$2019706,,,,,,,saricda01
393,Ryan Arcidiacono,DET,$2019706,,,,,,,arcidry01
394,DeAndre Jordan,DEN,$2019706,,,,,,,jordade01
395,Justin Holiday,DEN,$2019706,,,,,,,holidju01
396,Markieff Morris,DAL,$2019706,,,,,,,morrima02
397,Derrick Jones Jr.,DAL,$5379706,,,,,,,jonesde02
398,Ish Smith,CHO,$2019706,,,,,,,smithis01
399,Frank Ntilikina,CHO,$2019706,,,,,,,ntilila01
400,Terry Taylor,CHI,$2019706,,,,,,,taylote01
401,Harry Giles,BRK,$2019706,,,,,,,gilesha01
402,Lonnie Walker IV,BRK,$2019706,,,,,,,walkelo01
403,Dennis Smith Jr.,BRK,$2019706,,,,,,,smithde03
404,Wesley Matthews,ATL,$2019706,,,,,,,matthwe02
405,Moses Brown,POR,$2019706,,,,,,,brownmo01
406,Boban Marjanović,HOU,$2019706,,,,,,,marjabo01
407,Aaron Holiday,HOU,$2019706,,,,,,,holidaa01
408,Tristan Thompson,CLE,$2019706,,,,,,,thomptr01
409,Trendon Watford,BRK,$2019706,,,,,,,watfotr01
410,Svi Mykhailiuk,BOS,$2019706,,,,,,,mykhasv01
411,Caleb Houstan,ORL,$2000000,,,,,,,houstca01
412,Jaylin Williams,OKC,$2000000,,,,,,,willija07
413,Garrison Mathews,ATL,$2000000,,,,,,,mathega01
414,Sam Merrill,CLE,$1997238,,,,,,,merrisa01
415,Anthony Gill,WAS,$1997238,,,,,,,gillan01
416,Isaiah Joe,OKC,$1997238,,,,,,,joeis01
417,GG Jackson II,MEM,$1991428,,,,,,,jacksgg01
418,KJ Martin,PHI,$1930681,,,,,,,martike04
419,Naji Marshall,NOP,$1930681,,,,,,,marshna01
420,Xavier Tillman Sr.,BOS,$1930681,,,,,,,tillmxa01
421,Sam Hauser,BOS,$1927896,,,,,,,hausesa01
422,Jordan Goodwin,BRK,$1927896,,,,,,,goodwjo01
423,Kessler Edwards,SAC,$1927896,,,,,,,edwarke02
424,Ish Wainright,POR,$1927896,,,,,,,wainris01
425,Jericho Sims,NYK,$1927896,,,,,,,simsje01
426,Haywood Highsmith,MIA,$1902137,,,,,,,highsha01
427,A.J. Green,MIL,$1901769,,,,,,,greenaj01
428,Jeremiah Robinson-Earl,HOU,,,,,,,,robinje02
429,Kevin Knox,UTA,$1845593,,,,,,,knoxke01
430,Miles McBride,NYK,$1836096,,,,,,,mcbrimi01
431,Isaiah Livers,WAS,$1836096,,,,,,,liveris01
432,Isaiah Todd,MEM,$1836096,,,,,,,toddis01
433,Brandon Boston Jr.,LAC,$1836096,,,,,,,bostobr01
434,Aaron Wiggins,OKC,$1836096,,,,,,,wiggiaa01
435,Jose Alvarado,NOP,$1836096,,,,,,,alvarjo01
436,JT Thor,CHO,$1836096,,,,,,,thorjt01
437,E.J. Liddell,NOP,$1801769,,,,,,,liddeej01
438,Dru Smith,MIA,$1801769,,,,,,,smithdr01
439,Orlando Robinson,MIA,$1801769,,,,,,,robinor01
